species,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
Adelie,40.5,18.9,180,3950
Chinstrap,50.9,17.9,196,3675
Adelie,42.5,20.7,197,4500
Chinstrap,51.5,18.7,187,3250
Adelie,34.5,18.1,187,2900
Gentoo,49.1,14.8,220,5150
Adelie,38.8,17.6,191,3275
Gentoo,48.5,14.1,220,5300
Gentoo,51.5,16.3,230,5500
Adelie,37.6,17,185,3600
Adelie,40.7,17,190,3725
Gentoo,44,13.6,208,4350
Adelie,42.2,18.5,180,3550
Gentoo,43.2,14.5,208,4450
Adelie,36,17.1,187,3700
Adelie,39.2,19.6,195,4675
Adelie,41.5,18.3,195,4300
Chinstrap,45.5,17,196,3500
Gentoo,50.1,15,225,5000
Gentoo,48.1,15.1,209,5500
Gentoo,49.5,16.1,224,5650
Gentoo,48.4,14.4,203,4625
Adelie,38.3,19.2,189,3950
Gentoo,44.4,17.3,219,5250
Chinstrap,49,19.5,210,3950
Adelie,42.1,19.1,195,4000
Adelie,40.8,18.9,208,4300
Chinstrap,46.4,18.6,190,3450
Chinstrap,51.3,19.9,198,3700
Gentoo,47.4,14.6,212,4725
Adelie,36.2,16.1,187,3550
Chinstrap,46.5,17.9,192,3500
Gentoo,47.3,13.8,216,4725
Adelie,37.6,19.3,181,3300
Adelie,38.2,20,190,3900
Chinstrap,50.2,18.8,202,3800
Adelie,42.9,17.6,196,4700
Adelie,39.7,17.9,193,4250
Adelie,37.5,18.9,179,2975
Gentoo,49.8,16.8,230,5700
Gentoo,51.1,16.5,225,5250
Gentoo,50,15.2,218,5700
Adelie,37.8,18.3,174,3400
Adelie,34.6,21.1,198,4400
Adelie,38.8,17.2,180,3800
Gentoo,47.5,14.2,209,4600
Adelie,42.2,19.5,197,4275
Adelie,37.7,19.8,198,3500
Adelie,38.1,16.5,198,3825
Gentoo,45.5,13.9,210,4200
Adelie,40.2,20.1,200,3975
Adelie,37.7,18.7,180,3600
Gentoo,42.6,13.7,213,4950
Gentoo,48.7,15.7,208,5350
Chinstrap,52,20.7,210,4800
Gentoo,42,13.5,210,4150
Chinstrap,49.6,18.2,193,3775
Adelie,35.6,17.5,191,3175
Adelie,41.8,19.4,198,4450
Chinstrap,51.9,19.5,206,3950
Gentoo,49.6,15,216,4750
Adelie,46,21.5,194,4200
Gentoo,45,15.4,220,5050
Chinstrap,45.6,19.4,194,3525
Chinstrap,46.6,17.8,193,3800
Gentoo,46.8,16.1,215,5500
Gentoo,50.5,15.9,225,5400
Adelie,35.9,19.2,189,3800
Adelie,37.8,20,190,4250
Gentoo,46.1,15.1,215,5100
Adelie,37,16.5,185,3400
Gentoo,42.8,14.2,209,4700
Gentoo,52.2,17.1,228,5400
Gentoo,42.7,13.7,208,3950
Chinstrap,50.6,19.4,193,3800
Chinstrap,52,18.1,201,4050
Gentoo,50,16.3,230,5700
Adelie,36,17.8,195,3450
Chinstrap,58,17.8,181,3700
Gentoo,48.4,14.6,213,5850
Adelie,37.3,17.8,191,3350
Chinstrap,48.5,17.5,191,3400
Adelie,41,20,203,4725
Chinstrap,49.3,19.9,203,4050
Gentoo,47.5,14,212,4875
Adelie,39.6,17.7,186,3500
Adelie,36.2,17.2,187,3150
Gentoo,51.3,14.2,218,5300
Gentoo,47.8,15,215,5650
Gentoo,40.9,13.7,214,4650
Adelie,39.2,21.1,196,4150
Adelie,41.1,17.6,182,3200
Gentoo,46.8,15.4,215,5150
Gentoo,46.6,14.2,210,4850
Gentoo,43.5,14.2,220,4700
Gentoo,46.9,14.6,222,4875
Chinstrap,50.7,19.7,203,4050
